,commentary
134,"After the end of that last over, Bumrah after receiving his handkerchief waved it in the air in frustration and it flicked one of the bails at his end. He then picked it up and placed it back into its groove."
135,"Kuldeep Yadav to Head, 1 run, 83.9kph, leggie that keeps low, Head stays back and manages to bring his bat down as he punches it to long-off"
136,"Kuldeep Yadav to Head, no run, 78.4kph, legbreak from a short of length, cut to cover"
137,"Kuldeep Yadav to Head, no run, 81.6kph, in-drifter, Head blocks into the on-side"
138,Kuldeep Yadav [6.0-0-30-0] is back into the attack
140,"Jadeja to Labuschagne, 2 runs, 95.4kph, straighter line and that's been worked around the corner. The batters come back for the second"
141,"Jadeja to Labuschagne, no run, fired in and Labuschagne blocks off the inner part of the bat"
142,"Jadeja to Labuschagne, no run, 97.2kph, hint of away-spin, chopped to backward point"
143,"Jadeja to Labuschagne, no run, another one fired in on middle, tapped to cover"
144,"Jadeja to Labuschagne, no run, 93kph, in-dart, defensively pushed to cover"
145,"Jadeja to Head, 1 run, short of length, punched to mid-off"
146,A chat between Kohli and Rohit with the former doing all the talking
150,"Bumrah to Labuschagne, no run, dug in short at Labuschagne who sinks low to let that go"
151,"Bumrah to Labuschagne, no run, slower ball full outside off, Labuschagne pushes to cover"
152,No-one has left the venue but sombre faces from the Indian camp.
153,Harsha Bhogle on air: India need Bumrah to bowl the next 20 overs.
154,"Bumrah to Head, 1 run, good yorker on the stumps, Head goes outside the leg-stump and digs it out in front of cover"
155,"Bumrah to Labuschagne, 1 run, went for the big inswinging yorker on the stumps, Labuschagne flicks to deep square leg"
156,"Bumrah to Labuschagne, no run, another slower ball off-cutter outside off, Labuschagne tries to run it down and misses. Rahul gloves it cleanly this time on the bounce"
157,"Bumrah to Labuschagne, no run, slower ball off-cutter outside off, pushed to backward point"
158,Head knows this game is almost in Australia's pocket now - that's why he is looking to put the boot into the throats of the Indians now. Looking to attack anything in his zone and mostly it is coming off.
160,"Jadeja to Head, no run, flat and fired in on a good length on the stumps, punched back"
161,"Jadeja to Labuschagne, 1 run, fullish on off, eased off the front foot to long-off"
162,"Jadeja to Labuschagne, no run, wide of the crease and good length on off, no turn, pushed to cover"
163,"Jadeja to Labuschagne, no run, tossed up full on the stumps, pushed to cover"
164,"Jadeja to Head, 1 run, tossed up full outside off, smeared on the bounce to long-on"
165,"Jadeja to Labuschagne, 1 run, tossed up full outside off, Labuschagne gets forward to drive to long-off"
167,"Bumrah to Head, FOUR, and Head ends the over with four. A short ball dug in, fodder to Head who is staying leg-side of the ball and looking for anything short or full, hammered wide of deep square leg and it races away"
168,"Bumrah to Labuschagne, leg byes, 1 run, to the naked eye this looked like going down leg. Bumrah bowled that from wide of the crease and with the angle and the impact on leg-stump it is but umpire Richard Kettleborough does not give it out and it stays as ump's call. ""By millimetres does fate of major events hang!"" is the quip from Harsha Bhogle on air. The attempted inswinging yorker and Labuschagne survives on ump's call as that was just clipping leg-stump. He shuffled across and missed the flick. Again the rub of the green going Australia's way"
169,India review for LBW. Bumrah is convinced and Rohit goes for it. Was it sliding down leg? Bumrah doesn't think so. Labuschagne missed the flick on the shuffle. Joel Wilson the third ump and he looks zoned in tonight too. No bat as UltraEdge shows. Tense faces everywhere. Not out.
170,"Bumrah to Head, 1 run, short on the stumps, Head again makes room and cuts to sweeper cover"
171,"Bumrah to Head, FOUR, Head is single-handedly destroying so many Indian hopes. Bumrah goes for the yorker on the stumps, it's a half-volley and Head stays leg-side and drives it wide of mid-on who does not dive. Runs away"
172,"Bumrah to Head, no run, good length on the stumps, Head punches it back to Bumrah who deflects it on to the stumps at the other end, Labuschagne was going nowhere and was firmly back in his crease"
173,"Bumrah to Head, FOUR, another over and it starts with a four. A slower ball full on leg-stump, Head is early into the flick and is deceived, but gets it over mid-wicket and it's almost all the way, one bounce over the ropes"
174,Jasprit Bumrah [5.0-2-21-2] is back into the attack
175,"Ian Smith on air: When Travis was about to arrive back (after the injury) in India, people were gonna say who's gonna go from the line-up? Who's not gonna be there? Who they gonna leave out? And 95 percent of people said Marnus Labuschagne - he's got to go. My goodness me! He stayed with a vengeance."
177,"Jadeja to Head, 1 run, short and wide outside off, cut hard and Rohit dives to his right at cover to save three. Half-stopped"
178,"Jadeja to Labuschagne, 1 run, the 100-run stand is up. Fullish on middle-stump, Labuschagne steers softly and in front of point, quick single taken"
179,"Jadeja to Head, 1 run, good length on off, pushed wide of cover"
180,"Jadeja to Labuschagne, 1 run, fullish on the stumps, Labuschagne pushes through mid-off for one"
181,"Jadeja to Labuschagne, no run, just a hint of turn away from outside off, Labuschagne steers to backward point"
182,"Jadeja to Labuschagne, no run, fullish on off, Labuschagne gets forward to defend to cover"
183,"The time of praying for miracles is fast approaching India and that's never a good place to be in, it's a position of not being in control but India need to try and delay that for as long as possible. They need to tell themselves that this is still in control."
185,"Shami to Head, FOUR, Head ends the over with a four. The target is under 100 now. Danger signs for India. A short ball dug in on the stumps, does not rise at all and Head smashes the pull wide of deep square leg. Rohit can't contain his disappointment"
186,"Shami to Labuschagne, 1 run, a false shot and it falls well short of fine-leg. Short outside off, Labuschagne makes a late call to play, half-leaves it too and the top-edge lands well short of Bumrah"
187,"Shami to Labuschagne, no run, good length and outside off, Labuschagne punches to mid-off"
188,"Rohit claps and eggs on Shami. Most of the crowd are silent, a few making noise and keeping their enthusiasm going."
189,"The way Travis Head is timing the ball right now, it feels like he is playing on a surface that is only meant to hit the middle of the bat and nothing else. Surely not a great sign if you are an Indian supporter I'm afraid."
190,"Shami to Labuschagne, no run, short of length outside off, turned to mid-wicket"
191,"Shami to Labuschagne, no run, fullish on off, Labuschagne drives to cover, the bat turned there on impact and it was off the thick outer half"
192,"Shami to Labuschagne, FOUR, stunned silence as another over begins with a four. A half-volley outside off, Labuschagne plays a gorgeous cover drive that leaves the fielders gaping and watching on in awe"
194,"Jadeja to Labuschagne, 1 run, so easy for Australia. No threat from Jadeja at all. Sliding on nicely and they are happy to knock it around. Fullish outside off, driven to sweeper cover"
195,"Jadeja to Head, 1 run, flat good length outside off, punched to sweeper cover"
196,"Jadeja to Labuschagne, 1 run, good length on off, Labuschagne punches wide of cover"
197,"Jadeja to Head, 1 run, tossed up outside off, Head goes for a big loft, gets it off the thick inside half to long-on. After reaching the other end, makes a gesture that he was looking to hit that over extra-cover"
198,"Jadeja to Head, no run, good length and no turn on the stumps, tucked to mid-wicket"
199,Still no slip.
200,"Jadeja to Head, FOUR, Head is in a mood now to turn the screws. But this is an outside-edge. Is beaten by the turn and bounce on this, Head went back to cut and the outside-edge flies away past the vacant slip"
201,Right after Travis Head punched a length delivery to Kohli at cover (23.2) there was a visible amount of frustration from the Indian legend. Kohli hurled a shadow throw initially and then eventually threw the ball fiercely at the non-striker's end. Labuschagne wasn't backing up too far and would have been comfortably home even if he had scored a direct hit.
203,"Shami to Labuschagne, no run, wide of the crease and good length on off-stump, solid back foot block from Labuschagne"
204,"Shami to Labuschagne, no run, good length and shaping back in to the front pad, Labuschagne defends nicely to mid-wicket"
205,"Shami to Head, 1 run, dug in short outside off, Head drags the pull off the cue-end to the short mid-wicket area. He was early into the shot and he looks at his bat after reaching the other end"
206,"Shami to Head, no run, ooh! Head adjusts well, was fullish and stops on Head who was looking to get forward for another big drive, steers it to backward point in the end"
207,"Shami to Head, no run, short of length and angling into Head, tucks him up, defended to cover"
208,"Shami to Head, FOUR, Shami is back and is greeted with a boundary. This is getting increasingly worrying for India now. From round the wicket and it's a half-volley just outside off, Head gets forward and lofts straight down the ground. A statement shot if ever there was one. A fan wearing India's blue can't bear to watch"
209,Mohammed Shami [5.0-1-33-1] is back into the attack
211,"Jadeja to Head, 1 run, Head gives the charge and strokes the drive to long-on"
212,"Jadeja to Head, no run, no turn, good length on the stumps, punched to cover"
213,"Jadeja to Labuschagne, 1 run, skids on from a good length on off, tapped to the left of cover for a quick single"
214,"Jadeja to Head, 1 run, good length on the stumps, Head goes on the back foot to punch to long-off"
215,"Jadeja to Labuschagne, 1 run, tossed up delivery on leg-stump, driven to long-on"
216,"Jadeja to Head, 1 run, short and wide outside off, cut to point and Kuldeep half-stops to his right and does well as that was hit hard, just one as Labuschagne sends Head back"
217,Ravindra Jadeja [3.0-0-11-0] is back into the attack
219,"Kuldeep Yadav to Head, 1 run, the googly and Head picks it, goes on the back foot and punches the good length delivery on leg-stump to long-on"
220,"Kuldeep Yadav to Labuschagne, 1 run, again too full, Labuschagne gets forward and strokes it to long-on"
221,"Kuldeep Yadav to Labuschagne, no run, well tossed up outside off, Labuschagne gets forward and stays leg-side of the ball, drives and the inside-edge hits the boot and rolls away to the off-side"
223,"Kuldeep Yadav to Labuschagne, FOUR, no slip and four. Slides on as the legbreak goes across Labuschagne who goes on the back foot to cut and the thick outside-edge runs away past the vacant slip"
224,"Kuldeep Yadav to Head, 1 run, no turn on this good length delivery on off, punched to sweeper cover and 50 for Head. Maxwell who is next in, claps in encouragment and eggs him on"
225,"This is the real test for Rohit as captain. Ball isn't doing much, there's an ominous partnership brewing and the opposition is growing confident with every passing moment. What can he do to stop it? Even with a 130,000 cheering for them, how can he stop a lull from descending on the team?"
226,"Kuldeep Yadav to Head, no run, slides on from a good length on the stumps, Head goes on the back foot to punch it back"
228,"Siraj to Labuschagne, no run, slower ball off-cutter full outside off, turned to Kohli at mid-wicket who shies and shows that he is there, wide of the stumps and Rahul collects"
229,The ball seems to be sliding on nicely at the moment. No turn and it's getting tougher and tougher for India.
230,"Siraj to Labuschagne, no run, full outside off, full-faced off-drive to mid-off"
231,"Siraj to Head, 1 run, another short ball but does not rise at all, on the stumps, Head pulls to deep square leg"
232,"Matty Hayden on air: The 13th man here is 1,30,000."
233,"Siraj to Head, FOUR, these boundaries are going to hurt India. Round the wicket and dug in short on the stumps, Head was waiting for it, hammered over mid-wicket and the pull runs away"
234,"Siraj to Labuschagne, 1 run, short of length outside off, Labuschagne angles it to the left of backward point for an easy single"
235,"Siraj to Labuschagne, no run, fullish and shaping back in towards off, Labuschagne gets forward to show the full face to drive to mid-off"
238,"Kuldeep Yadav to Labuschagne, 1 run, on the pads, Labuschagne closes the bat face towards deep mid-wicket"
239,"Kuldeep Yadav to Labuschagne, 2 runs, flat on off, Labuschagne rocks back to cut to the right of sweeper cover. Solid commitment from Shreyas Iyer who covered about 20 yards in a matter of seconds and dived to stop the boundary. Just two runs"
240,"Kuldeep Yadav to Labuschagne, no run, top delivery!! On a length and going across the batter, Labuschagne didn't read it at all!! Beaten on the outside edge"
241,Kuldeep is keeping it much shorter to Travis Head. He's been a bit ruffled by that six
242,Ishan Kishan on the field (at long-off) for someone
243,"Kuldeep Yadav to Head, 1 run, length ball on off, cut towards sweeper cover."
244,"Kuldeep Yadav to Head, no run, flat and skids through outside off. Late cut towards backward point"
245,"Nasser Hussain about Travis Head: Good thing about Travis Head is he is not just going into his bunker and thinking I will just knock it around. He is still being positive, you can tell from his body language, his intent, if there is a bad ball he will put you away. He picked up Kuldeep perfectly, slogsweep for six, and five fours already."
246,"Kuldeep Yadav to Labuschagne, 1 run, flighted up and wider, Labuschagne leans closer to drive past covers and towards wide long-off"
248,"Siraj to Labuschagne, 1 run, fuller and skiddy, keeps a tad low on off stump. Labuschagne opens the bat face late on his block to scamper a single to the left of Jadeja at backward point"
249,"Siraj to Head, 1 run, back of length on the body, pulled into the ground towards deep mid-wicket"
